smiles,E1-CC2,E2-CC2,f1-CC2,f2-CC2,E1-PBE0,E2-PBE0,f1-PBE0,f2-PBE0,E1-CAM,E2-CAM,f1-CAM,f2-CAM
[H]C([H])([H])[H],0.43295186,0.43295958,0.24972825,0.24973648,0.43021753,0.43023558,0.181436,0.18150153,0.40993137,0.40993872,0.1832,0.1832
[H]N([H])[H],0.26521952,0.35008064,0.06701544,0.03004918,0.26838581,0.3491057,0.04076087,0.03164115,0.25385331,0.33448133,0.0575,0.0238
[H]O[H],0.28653735,0.363579,0.03775532,0,0.29137731,0.36209064,0.01950336,0.00000001,0.27851946,0.35007407,0.0333,0
[H]C#C[H],0.35862867,0.35862867,0,0,0.25632133,0.2684693,0,0,0.24487913,0.25505134,0,0
[H]C#N,0.31995762,0.33607406,0,0,0.29513891,0.3116573,0,0,0.2834255,0.29699335,0,0
[H]C([H])=O,0.15391355,0.29123378,0,0.09102332,0.14855312,0.31296177,0,0.15791646,0.14683928,0.30444244,0,0.0954
[H]C([H])([H])C([H])([H])[H],0.37613753,0.37614568,0,0,0.37286667,0.37289105,0,0,0.35496541,0.35497643,0,0
[H]OC([H])([H])[H],0.26669063,0.33319051,0.0009443,0.07160772,0.27788351,0.33141529,0.00131061,0.05682431,0.26122523,0.325294,0.0003,0.0653
[H]C#CC([H])([H])[H],0.27338914,0.2857496,0,0.0011942,0.25141492,0.26275002,0,0.00165317,0.24383177,0.2533572,0,0.0009
[H]C([H])([H])C#N,0.31965511,0.3344136,0.00000001,0.002747,0.2899624,0.3050773,0,0.00276386,0.28389956,0.29656338,0,0.0017
[H]C(=O)C([H])([H])[H],0.16572695,0.28555558,0.00004483,0.04090803,0.15995235,0.30262674,0.00002163,0.01051725,0.15974197,0.2940828,0.0001,0.0111
[H]C(=O)N([H])[H],0.21631598,0.28221985,0.00093894,0.01318951,0.21305903,0.28179731,0.00166072,0.00418146,0.21020247,0.27581104,0.0011,0.0111
